Event_ID,Exact_Date,Master_Location,Primary_Figure,Subject_Action,Summary_Text,Details_Evidence,Artifact_Refs,Social_Weight
E1865_002,1865.01.27,金華,,活动,1月27日，陰曆甲子、乙丑之交正月元旦子時，生於浙江金華縣城西之鐵嶺頭，距立春尚有十餘日，循舊俗，堕地即爲二歲。,《自撰年譜稿》：“余降生於前清同治三年，歲次乙丑，正月子時，因未立春，星命家以爲甲子年、丁丑月、丁酉日、庚子時。先是父大人奉余祖母程（按：爲‘潘’之誤）避兵，由歙西潭渡至浙東金華縣南五十里白砂嶺。祖母程（按：同爲‘潘’之誤）殁，殯於裏鄭村之白砂寺。是年太平軍南京失守，江南各處人民入都市，我家遷移縣城之西鐵嶺頭。有雙溪水環城合流爲瀔水，水名載《水經注》，後獲一字古玉印，作《釋瀔篇》，存《古印文字考》，未梓行，即余降生之地，因名其堂曰‘穀玉’。” 《八十感言》詩：“吾生乙丑年，蓂算猶甲子。受天知春遲，墮地得歲始。” 《九十自述》：“余誕生於同治三年之冬，實乙丑正月朔，距立春尚先十餘日，應增一歲計也。” 自用印印文之一：“甲子年乙丑元旦生。” 自用印印文之二：“生於甲子。”...,自撰年譜稿 / 水經注 / 釋瀔篇 / 古印文字考 / 八十感言 / 九十自述,7
E1865_003,1865.01.27,金華,,紀游,初名懋質，一名元吉，後改名質，字樸存，亦作朴丞、朴人，初號濱虹，民國丁戊間，改字賓虹，遂以字行。,黄氏家譜：“黄懋質，一名元吉，後改名質，字樸存。” 《八十自叙》：“賓虹學人，原名質，字樸存。江南歙縣籍，祖居潭渡村，有濱虹亭最勝，在黄山之豐樂溪上，國變後改今名。” 《自撰生平簡述》：“黄賓虹，原名質，字樸存，別號矼叟，祖籍江南歙縣之潭渡村，有豐樂溪自黄山來，環村居，舊建濱虹亭最著勝，因號濱虹。” 按：黄賓虹兄弟為“懋”字輩，按年齡順序為懋質、懋賡、懋貢、懋贊，然而金華裏鄭祖母潘氏墓碑碑文中，均署單名：質、賡、貢、贊，黄賓虹自述文字中稱諸弟亦均循此。...,八十自叙 / 自撰生平簡述,7
E1865_004,1865.01.27,金華,,活动,時祖父德涵卒十九年。,《歙潭渡黄氏先德錄》：“先祖府君，諱德涵，字孟輝。……先祖生乾隆癸丑，卒於道光丙午。”...,歙潭渡黄氏先德錄,7
E1865_005,1865.01.27,金華,,活动,祖母潘氏卒三年。,...,,7
E1865_006,1865.01.27,金華,,活动,父定華年三十五歲。,《歙潭渡黄氏先德錄》：“先考府君諱定華，字定三，號鞠如，後以字行。清太學生。兄弟五人，行居三。幼值家艱，恒忍饑勵學，志氣不凡。外祖汪籙扶先生，時教授里中，一見遂異之，以愛女歸府君，即先妣汪孺人也。府君年十四，習賈浙東之婺州。既冠，克自樹立，然諾不苟，往來吳越，人皆信服。咸豐八年，太平軍將陷杭州，徽婺幾隔絶。時先王父既殁，先妣汪亦早逝，惟先王母潘孺人里居，立之、元慶兩伯兄年俱幼。府君出多金遣迎先王母暨兩伯兄至婺，避兵於郡南之裏鄭。未幾，先王母棄世，卜葬其村之萬羅山，撫育兩伯兄成人，繼娶先妣方孺人，婺之望族也。喪亂既平，府君經營商務，業益拓，境益亨。” 又：“府君生平多方善斷，性伉直，重交與，心口如一，居無私蓄。凡於義舉，及周人緩急，無不慷慨。如捐金助興金陵歙館，獨立建貽安堂祖龕，倡修春輝堂，昭昭在人耳目。里中三元橋，兵燹殘壞，曾倡輸百金，重加修葺，惜當日無董其成者，事中止。” 又：“府君工擘窠大書，晚歲尤喜作畫，寫竹日可數十紙。又畫梅，繁枝叢萼，自擬王元章、揚補之，横墨飛翰，積楮盈篋，不以示人。”...,歙潭渡黄氏先德錄,7
E1865_007,1865.07.19,金華,,活动,生母方氏年二十三歲。,贅語：從歷史長河來看，譜主生於十九世紀中葉。這是一個奇異的年代，一個充滿了“轉折”和“語言轉向”的年代。1840年的鴉片戰争，以清政府戰敗，簽訂中英馬關條約爲標志，中國社會跌進半封建半殖民地的畸形境地，揭開了中國近代史的帷幕。1851年崛起於東南一隅的太平天囯，十餘年間横掃大清半壁江山，並於1861年攻佔金華府城，由於農民起義的歷史局限性，譜主誕生的前一年的7月19日天京失守，誕生的翌日，攻佔金華府城並以之爲大本營的侍王李世賢有意向清軍投誠，以後雖轉戰江南達一年又七個月之久，1866年的8月19日被刺身亡。一切似乎回歸於正常，然而半封建、半殖民地的大勢，使這種“正常”失去了常態。1843年11月17日，上海開埠，這個彈丸之地的松江府下轄的小縣城，迅速崛起爲亞洲第一大商埠。大商埠的副産品，便是一個以商品經濟為依託的新型畫壇——海上畫壇誕生了。一度藉助碑學興起而導向以金石書法美學滲入畫學的、被譜主晚年稱為“道咸畫學中興”的崇尚内在美的勢頭被打壓下去，那些與劉熙載論書法“内在美”的“大善不飾”、“不工者，工之極”有着共同審美語言的畫家，讓位於順勢而興的以迎合小市民口味的所謂經濟型“海派”畫家。而萬里之外的歐洲，法國巴比松畫派的畫家開始走出幽暗的畫室，到陽光明媚的大自然中尋找靈感，催生了新一代畫家。這新一代畫家採納了光學色彩學的新成果，繼續沿着巴比松畫派開闢的道路向縱深走去。他們就是1874年4月15日在巴黎開幕的第一屆印象派畫展的畫家。印象派的誕生，預示着藝術擺脫情節與物象、追求獨立自主的現代化進程即將開端。這，被史論家稱作為藝術的“語言轉向”。而在中國大地，以金石學爲依託的道咸畫家逐漸凋零，商品經濟主宰着的畫壇變本加厲地凸現了清代“四王”畫風的弊端，使中國畫面臨着生死抉擇……這是一個要麽毀滅要麽再生的年代，一個呼唤、造就巨人的時代。...,,7
E1866_001,1865.07.19,金華,,活动,二弟賡（1866—1919）生。譜諱懋賡，又名元昌，字仲方，一字仲芳。,...,,7
E1866_002,1865.07.19,金華,,活动,遷居縣城玉泉庵後興讓坊，旋遷巷西蔣氏宅前通街。,《自撰年譜稿》：“丙寅，二弟生。遷居邑城玉泉庵後興讓坊，庵鄰蓮花井。蔣憲章伯，年七十，家居恒生醬園，其婿金志甫（城），其族弟廷烈伯，居西市街恒和布店，住其家。余家又遷巷西蔣氏宅前通街，父大人設廣達布總號，屋宇數十間，甚寬敞。父執程詩賡設廣和莊，今震旦先生，其嗣也。余在襁褓中，時隨父母至其家，生母哺余乳，兄弟姊姐同游戲。有蔣蓮芝姊，長余一歲，將議婚，未果，殤年僅十歲。” 受庭训。 《自撰年譜》稿：“余年三歲，受庭訓。” 《歙潭渡黄氏先德錄》：“余於兄弟中，行居長，府君常親督教之。”...,自撰年譜稿 / 自撰年譜 / 歙潭渡黄氏先德錄,7
E1867_001,1865.07.19,金華,,活动,始習畫，有悟性。,王譜：“父鞠如捉先生手腕，令畫梅花枝幹竹葉，淋漓滿紙，乃笑語親友云：‘此兒有悟性，可以習繪畫。’”...,,7
E1868_001,1865.07.19,金華,,聘任,家塾聘邵賦清授四子書，父鞠如且親自督教，能好問。,《歙潭渡黄氏先德錄》：“當粗識之無，欲以‘掌’字請，府君笑曰：‘當爲汝言六書之學。’余讀許氏《說文》，庭訓也。” 《識字一首》：“曩余秉庭詔，爪掌識會意。賜賚襁負中，嬉笑得餅餌。”...,歙潭渡黄氏先德錄 / 說文 / 識字一首,10
